"PK","SK","allocationDate","bookingId","capacity","checkin","checkout","code","createdAt","email","entity","GSI1PK","GSI1SK","GSI2PK","GSI2SK","guests","id","name","notes","roomIds","status","ttl","used"
"ROOM#room-4-mmnk7psr","ROOM#room-4-mmnk7psr","","","2","","","","","","Room","ROOMS","ROOM#Room 4","","","","room-4-mmnk7psr","Room 4","","","","",""
"BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","META","","","","2026-03-12","2026-03-31","","2026-03-12T14:27:56.242823Z","d","Booking","","","d","JZE3-TRZN-R89T","2","","d","d","[{""S"":""room-1-mmnk774a""}]","PENDING","1782691200",""
"BOOKING#ec2df466-0def-464c-aded-0f9307f37f64","META","","","","2026-03-15","2026-03-21","","2026-03-12T14:25:13.621876Z","a","Booking","","","a","D2YV-R5ZQ-J5R6","2","","a","a","[{""S"":""room-2-mmnk7cyp""}]","PENDING","1781827200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-12","2026-03-12","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-12","DATE#2026-03","DATE#2026-03-12#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-13","2026-03-13","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-13","DATE#2026-03","DATE#2026-03-13#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-14","2026-03-14","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-14","DATE#2026-03","DATE#2026-03-14#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-15","2026-03-15","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-15","DATE#2026-03","DATE#2026-03-15#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-16","2026-03-16","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-16","DATE#2026-03","DATE#2026-03-16#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-17","2026-03-17","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-17","DATE#2026-03","DATE#2026-03-17#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-18","2026-03-18","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-18","DATE#2026-03","DATE#2026-03-18#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-19","2026-03-19","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-19","DATE#2026-03","DATE#2026-03-19#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-20","2026-03-20","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-20","DATE#2026-03","DATE#2026-03-20#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-21","2026-03-21","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-21","DATE#2026-03","DATE#2026-03-21#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-22","2026-03-22","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-22","DATE#2026-03","DATE#2026-03-22#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-23","2026-03-23","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-23","DATE#2026-03","DATE#2026-03-23#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-24","2026-03-24","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-24","DATE#2026-03","DATE#2026-03-24#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-25","2026-03-25","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-25","DATE#2026-03","DATE#2026-03-25#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-26","2026-03-26","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-26","DATE#2026-03","DATE#2026-03-26#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-27","2026-03-27","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-27","DATE#2026-03","DATE#2026-03-27#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-28","2026-03-28","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-28","DATE#2026-03","DATE#2026-03-28#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-29","2026-03-29","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-29","DATE#2026-03","DATE#2026-03-29#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","DATE#2026-03-30","2026-03-30","ff4f21ab-b3c0-4278-92d5-439f2a1032f0","","","","","","","Allocation","BOOKING#ff4f21ab-b3c0-4278-92d5-439f2a1032f0","DATE#2026-03-30","DATE#2026-03","DATE#2026-03-30#ROOM#room-1-mmnk774a","","","","","","","1782691200",""
"ROOM#room-1-mmnk774a","ROOM#room-1-mmnk774a","","","2","","","","","","Room","ROOMS","ROOM#Room 1","","","","room-1-mmnk774a","Room 1","","","","",""
"ROOM#room-3-mmnk7jb3","DATE#2026-03-12","2026-03-12","80c9c789-bcaa-4d44-89d7-0e91d4313101","","","","","","","Allocation","BOOKING#80c9c789-bcaa-4d44-89d7-0e91d4313101","DATE#2026-03-12","DATE#2026-03","DATE#2026-03-12#ROOM#room-3-mmnk7jb3","","","","","","","1781827200",""
"ROOM#room-3-mmnk7jb3","DATE#2026-03-13","2026-03-13","80c9c789-bcaa-4d44-89d7-0e91d4313101","","","","","","","Allocation","BOOKING#80c9c789-bcaa-4d44-89d7-0e91d4313101","DATE#2026-03-13","DATE#2026-03","DATE#2026-03-13#ROOM#room-3-mmnk7jb3","","","","","","","1781827200",""
"ROOM#room-3-mmnk7jb3","DATE#2026-03-14","2026-03-14","80c9c789-bcaa-4d44-89d7-0e91d4313101","","","","","","","Allocation","BOOKING#80c9c789-bcaa-4d44-89d7-0e91d4313101","DATE#2026-03-14","DATE#2026-03","DATE#2026-03-14#ROOM#room-3-mmnk7jb3","","","","","","","1781827200",""
"ROOM#room-3-mmnk7jb3","DATE#2026-03-15","2026-03-15","80c9c789-bcaa-4d44-89d7-0e91d4313101","","","","","","","Allocation","BOOKING#80c9c789-bcaa-4d44-89d7-0e91d4313101","DATE#2026-03-15","DATE#2026-03","DATE#2026-03-15#ROOM#room-3-mmnk7jb3","","","","","","","1781827200",""
"ROOM#room-3-mmnk7jb3","DATE#2026-03-16","2026-03-16","80c9c789-bcaa-4d44-89d7-0e91d4313101","","","","","","","Allocation","BOOKING#80c9c789-bcaa-4d44-89d7-0e91d4313101","DATE#2026-03-16","DATE#2026-03","DATE#2026-03-16#ROOM#room-3-mmnk7jb3","","","","","","","1781827200",""
"ROOM#room-3-mmnk7jb3","DATE#2026-03-17","2026-03-17","80c9c789-bcaa-4d44-89d7-0e91d4313101","","","","","","","Allocation","BOOKING#80c9c789-bcaa-4d44-89d7-0e91d4313101","DATE#2026-03-17","DATE#2026-03","DATE#2026-03-17#ROOM#room-3-mmnk7jb3","","","","","","","1781827200",""
"ROOM#room-3-mmnk7jb3","DATE#2026-03-18","2026-03-18","80c9c789-bcaa-4d44-89d7-0e91d4313101","","","","","","","Allocation","BOOKING#80c9c789-bcaa-4d44-89d7-0e91d4313101","DATE#2026-03-18","DATE#2026-03","DATE#2026-03-18#ROOM#room-3-mmnk7jb3","","","","","","","1781827200",""
"ROOM#room-3-mmnk7jb3","DATE#2026-03-19","2026-03-19","80c9c789-bcaa-4d44-89d7-0e91d4313101","","","","","","","Allocation","BOOKING#80c9c789-bcaa-4d44-89d7-0e91d4313101","DATE#2026-03-19","DATE#2026-03","DATE#2026-03-19#ROOM#room-3-mmnk7jb3","","","","","","","1781827200",""
"ROOM#room-3-mmnk7jb3","DATE#2026-03-20","2026-03-20","80c9c789-bcaa-4d44-89d7-0e91d4313101","","","","","","","Allocation","BOOKING#80c9c789-bcaa-4d44-89d7-0e91d4313101","DATE#2026-03-20","DATE#2026-03","DATE#2026-03-20#ROOM#room-3-mmnk7jb3","","","","","","","1781827200",""
"ROOM#room-3-mmnk7jb3","ROOM#room-3-mmnk7jb3","","","1","","","","","","Room","ROOMS","ROOM#Room 3","","","","room-3-mmnk7jb3","Room 3","","","","",""
"BOOKING#80c9c789-bcaa-4d44-89d7-0e91d4313101","META","","","","2026-03-12","2026-03-21","","2026-03-12T14:29:59.103194Z","e","Booking","","","e","D2MA-U5B6-94W5","1","","e","e","[{""S"":""room-3-mmnk7jb3""}]","PENDING","1781827200",""
"INVITATION_CODE#JTNS-9M46-8SF2","METADATA","","","","","","JTNS-9M46-8SF2","","","","","","","","","","","","","","1773930534","true"
"BOOKING#ae786ab1-a9f2-4501-9cc7-8fa81722c8d9","META","","","","2026-03-13","2026-03-17","","2026-03-12T14:25:57.741885Z","b","Booking","","","b","KBQ3-7J56-3ME7","2","","b","b","[{""S"":""room-4-mmnk7psr""}]","PENDING","1781481600",""
